Milliseconds,X,Y,Z
2600,23.308746,-5.220459,1.6996155
2611,30.303558,1.0307312,3.2775116
2620,34.140656,7.286743,4.684311
2630,37.59021,11.383835,0.8013458
2641,38.480103,18.100418,-6.2279053
2650,37.85814,20.014633,-5.505493
2660,36.3367,22.499771,-1.1235046
2670,33.82965,21.45871,4.5940094
2680,30.906387,19.861115,6.4713287
2691,27.873077,18.028458,7.8115997
2700,24.753647,17.970871,8.015976
2710,21.433273,17.80777,7.1985016
2720,18.213364,16.853058,4.3611298
2730,15.955124,15.452164,2.1130981
2740,13.7782135,13.005417,0.8964081
2751,12.921814,10.520294,0.7918396
2760,12.323761,8.730804,1.0247192
2770,10.921936,6.120941,1.5522766
2780,9.979416,4.585724,0.54945374
2790,9.300034,3.1944275,-0.6434784
2800,8.5728,2.4124298,-0.790802
2810,8.108704,1.865509,-0.39157104
2820,7.44368,1.4241333,0.28805542
2830,6.955658,1.2706146,0.6540222
2841,6.946106,1.4145355,0.99620056
2850,6.615967,1.9662628,1.5332642
2860,6.1710205,2.6763,1.704361
2870,5.8456726,3.1656494,1.6283112
2880,5.649536,3.3479614,1.2005768
2890,5.4342194,3.5446625,0.2785492
2900,5.419876,3.410324,-0.31077576
2910,5.5681915,3.2040253,-1.0046844
2920,5.424652,3.4774933,-1.5940094
2931,5.1663055,3.9668274,-1.5274811
2940,5.214142,4.139557,-1.1187439
2950,5.3146057,4.3314514,-0.55792236
2960,5.376816,4.576126,-0.03036499
2970,5.2045746,4.931137,0.39736938
2980,4.95578,5.1950073,0.5922394
2990,4.692642,5.4205017,0.4734192
3000,4.5634613,5.4732666,0.18348694
3011,4.625656,5.401306,-0.0066070557
3020,4.539551,5.5404205,-0.16345215
3030,4.4008026,5.9338226,-0.28701782
3040,4.381653,6.2936554,-0.33454895
3050,4.5682526,6.5143433,-0.1444397
3060,4.6065216,6.8309784,0.34509277
3070,4.4725647,7.0708466,0.7205658
3081,4.553894,7.090042,0.9011688
3090,4.5730286,7.0564575,0.75857544
3100,4.5251923,6.9748993,0.6492615
3110,4.4629974,7.1044464,0.50668335
3120,4.424713,7.301132,0.35935974
3131,4.386444,7.517029,0.5161743
3140,4.39122,7.6177673,0.7918396
3150,4.5730286,7.6705475,1.100769
3160,4.721344,7.780899,1.124527
3170,4.9079437,7.9583893,0.9486847
3181,5.0610504,8.126312,0.8203583
3190,5.1615143,8.217468,0.6635132
3201,5.175873,8.495728,0.38311768
3210,5.214142,8.543701,0.21676636
3220,5.3433228,8.471741,0.15023804
3230,5.386383,8.361389,0.22627258
3240,5.5299225,8.265442,0.4068756
3250,5.75,8.135895,0.92492676
3261,5.7930603,8.135895,1.2766266
3270,5.8265533,8.231857,1.4762268
3280,5.955719,8.188675,1.5617981
3290,6.0657806,8.342209,1.5380096
3301,5.955719,8.639648,1.4714966
3310,5.8696136,8.702011,1.3479156
3320,5.73085,8.673233,1.1625519
3330,5.6686554,8.418961,0.95344543
3340,5.654312,8.380585,0.94392395
3350,5.58255,8.356598,1.0960236
3361,5.5586243,8.3901825,1.2386017
3370,5.5299225,8.433365,1.319397
3380,5.381592,8.442947,1.2956238
3390,5.2954865,8.347,1.1197815
3400,5.1423798,8.3901825,0.8393707
3411,5.0371246,8.428558,0.7062988
3420,4.9366455,8.471741,0.62550354
3430,4.8648834,8.3901825,0.4258728
3440,5.008423,8.370987,0.41638184
3450,4.9940643,8.380585,0.4449005
3460,4.979706,8.366196,0.54945374
3471,5.0610504,8.303833,0.63975525
3480,5.0801697,8.265442,0.71580505
3490,5.056259,8.2078705,0.80610657
3500,5.0371246,8.08313,0.8821411
3510,5.0323334,8.044754,0.95344543
3521,4.9940643,8.131119,0.95344543
3530,4.95578,8.212677,0.87739563
3541,4.946228,8.212677,0.8393707
3550,4.979706,8.231857,0.8441162
3560,5.013199,8.227051,0.8108673
3570,5.056259,8.32782,0.8631439
3581,5.094528,8.332596,1.0152283
3590,5.1375885,8.289429,1.138794
3600,5.180664,8.29422,1.1910706
3610,5.1232452,8.337402,1.2386017
3620,4.9988556,8.409363,1.210083
3630,4.9366455,8.409363,1.1863251
3641,4.8648834,8.351791,1.124527
3650,4.778763,8.27504,1.0627441
3661,4.8266144,8.183884,1.0817566
3670,4.821823,8.217468,1.1815643
3680,4.9318695,8.270233,1.3716736
3690,5.089752,8.332596,1.5617981
3701,5.094528,8.48613,1.6045532
3710,4.979706,8.577286,1.6140594
3720,4.917511,8.543701,1.4192047
3731,4.951004,8.490921,1.1055298
3740,4.951004,8.50531,0.85362244
3751,4.9031525,8.476532,0.81559753
3760,4.9031525,8.582077,0.7633209
3771,4.898361,8.567688,0.76808167
3780,4.8696747,8.48613,0.9724426
3791,4.9366455,8.457352,1.0912628
3800,5.017975,8.452545,1.138794
3810,5.0036316,8.433365,1.1815643
3820,4.9701385,8.428558,1.138794
3831,4.9031525,8.447754,0.91542053
3840,4.8409576,8.457352,0.74432373
3850,4.8074646,8.462128,0.5542145
3860,4.7404785,8.490921,0.5256958
3871,4.711792,8.50531,0.49241638
3881,4.7596283,8.466934,0.535202
3890,4.821823,8.471741,0.73005676
3900,4.951004,8.428558,0.87739563
3911,4.855316,8.438156,1.0817566
3920,4.821823,8.409363,1.0960236
3930,4.783539,8.303833,1.0770111
3941,4.711792,8.351791,0.9629364
3950,4.6687164,8.318207,0.9011688
3960,4.57782,8.347,0.90589905
3970,4.5682526,8.27504,0.93917847
3981,4.663925,8.27504,1.02948
3990,4.721344,8.414169,1.1197815
4001,4.8266144,8.572479,1.1768036
4011,4.8361664,8.64444,1.1483002
4020,4.8744507,8.567688,1.0770111
4031,4.989273,8.495728,0.9344177
4041,5.0753937,8.452545,0.8726349
4050,5.113678,8.466934,0.8441162
4060,5.1041107,8.529297,0.88690186
4072,5.0610504,8.562897,0.9486847
4080,5.056259,8.606064,0.99620056
4090,5.013199,8.543701,1.005722
4100,4.989273,8.4813385,1.0104675
4110,4.9605713,8.433365,0.98194885
4120,4.8936005,8.447754,0.9344177
4130,4.812256,8.495728,0.8441162
4141,4.773987,8.4813385,0.80610657
4150,4.7644196,8.4813385,0.8013458
4161,4.7309113,8.447754,0.8583832
4170,4.644806,8.418961,0.9344177
4180,4.663925,8.303833,1.02948
4191,4.587387,8.29422,1.0817566
4200,4.5730286,8.260651,0.97720337
4210,4.654373,8.260651,0.90589905
4220,4.750061,8.27504,0.920166
4231,4.7357025,8.3901825,0.96769714
4240,4.8074646,8.404572,0.97720337
4250,4.979706,8.423752,1.0247192
4260,5.0036316,8.500534,1.1197815
4271,5.0371246,8.50531,1.124527
4280,5.094528,8.471741,1.0865021
4290,5.151947,8.50531,1.0579987
4301,5.051483,8.572479,1.0199738
4310,5.0706177,8.596466,0.9344177
4320,5.1232452,8.586884,0.9011688
4330,5.113678,8.620453,0.9344177
4340,5.1710815,8.639648,0.9724426
4351,5.1950073,8.639648,1.043747
4360,5.0610504,8.649246,1.124527
4370,5.0323334,8.639648,1.1340485
4380,5.0706177,8.577286,1.100769
4390,4.95578,8.534103,1.1435394
4400,4.9031525,8.462128,1.0960236
4411,4.9318695,8.490921,1.0484924
4420,4.850525,8.500534,0.99147034
4430,4.8744507,8.490921,1.0199738
4440,4.8361664,8.500534,0.89164734
4450,4.7691956,8.524521,0.91542053
4461,4.8314056,8.433365,0.9344177
4470,4.8744507,8.490921,0.9724426
4480,4.8266144,8.457352,1.0722504
4490,4.8074646,8.428558,1.1102753
4500,4.793106,8.347,1.1150208
4510,4.716568,8.332596,1.100769
4520,4.6352386,8.303833,1.0960236
4530,4.6782837,8.251053,0.9724426
4541,4.7022095,8.342209,0.95344543
4550,4.7691956,8.375778,0.92967224
4560,4.860092,8.418961,0.95344543
4570,4.951004,8.586884,0.9581909
