Milliseconds,X,Y,Z
5912,5.672928,7.9218903,0.6849365
5921,5.6250916,7.931488,0.58036804
5931,5.696869,7.888321,0.5423584
5941,5.711212,7.8595276,0.6088867
5952,5.840378,7.825943,0.68969727
5961,5.8499603,7.849945,0.82751465
5971,5.8977966,7.8595276,0.89881897
5981,5.8977966,7.9890594,0.90356445
5991,5.8930054,8.089813,0.90356445
6002,5.873886,8.176178,0.8465271
6012,5.7925415,8.32489,0.7277069
6021,5.778183,8.257721,0.6231537
6032,5.869095,8.137772,0.58036804
6041,5.8977966,8.118591,0.6374054
6051,5.869095,8.065826,0.6611786
6062,5.8786774,8.070618,0.64216614
6071,5.8834534,8.118591,0.6849365
6081,5.8595276,8.142578,0.64216614
6092,5.8930054,8.128189,0.5566101
6101,5.8499603,8.118591,0.49006653
6111,5.8595276,8.070618,0.50909424
6121,5.873886,8.013046,0.61364746
6132,5.845169,7.9938507,0.7799988
6141,5.8786774,7.945877,0.86553955
6152,5.840378,7.9123077,0.92733765
6161,5.8308105,7.9123077,0.83703613
6171,5.8164673,7.878708,0.68969727
6181,5.735138,7.931488,0.6088867
6191,5.6872864,8.022644,0.5328522
6202,5.6537933,7.984253,0.58036804
6212,5.63945,7.8835144,0.6279144
6221,5.711212,7.773163,0.7277069
6231,5.6633606,7.744385,0.88931274
6242,5.6537933,7.749176,0.99861145
6251,5.715988,7.787552,1.0223846
6261,5.668152,7.8691254,1.0271301
6271,5.7590637,7.8979034,0.92733765
6282,5.768631,7.960266,0.82276917
6291,5.773407,8.046631,0.7609863
6301,5.8069,8.118591,0.78948975
6311,5.778183,8.142578,0.78948975
6321,5.7590637,8.089813,0.8180084
6331,5.706436,8.04184,0.83703613
6342,5.63945,7.8979034,0.87506104
6351,5.6155243,7.801956,0.92733765
6361,5.5963745,7.773163,0.94158936
6371,5.634659,7.787552,0.98435974
6381,5.6585693,7.893112,0.9748535
6392,5.739914,8.027435,0.88931274
6401,5.8595276,8.104202,0.78948975
6412,5.8930054,8.176178,0.7419739
6421,5.8595276,8.176178,0.7087097
6431,5.8164673,8.128189,0.73721313
6441,5.8308105,8.06102,0.8037567
6452,5.7542725,7.9746704,0.8037567
6462,5.672928,7.9026947,0.8322754
6471,5.6442413,7.8451385,0.85128784
6482,5.6872864,7.8691254,0.81326294
6493,5.629883,7.9218903,0.8940582
6501,5.601166,8.00824,0.87506104
6511,5.629883,8.046631,0.8417816
6521,5.6203003,8.0946045,0.7277069
6531,5.5963745,8.080215,0.7087097
6541,5.572464,8.056229,0.694458
6551,5.4911194,8.022644,0.68019104
6562,5.3858643,7.8739166,0.7277069
6572,5.347595,7.840332,0.7467346
6582,5.304535,7.7203827,0.79901123
